t,u,v
88.8,1.20641,1.24288
88.9,1.19451,1.25005
89,1.18239,1.25709
89.1,1.17006,1.26398
89.2,1.1575,1.27073
89.3,1.1447,1.27734
89.4,1.13163,1.28379
89.5,1.11829,1.2901
89.6,1.10466,1.29626
89.7,1.09071,1.30228
89.8,1.07643,1.30813
89.9,1.0618,1.31384
90,1.04678,1.31939
90.1,1.03135,1.32477
90.2,1.01548,1.33
90.3,0.999139,1.33507
90.4,0.982288,1.33997
90.5,0.964886,1.34469
90.6,0.946889,1.34925
90.7,0.928247,1.35363
90.8,0.908904,1.35782
90.9,0.888797,1.36183
91,0.867859,1.36564
91.1,0.84601,1.36926
91.2,0.823163,1.37267
91.3,0.799221,1.37587
91.4,0.774071,1.37885
91.5,0.747589,1.38159
91.6,0.71963,1.3841
91.7,0.690032,1.38635
91.8,0.658611,1.38834
91.9,0.625153,1.39006
92,0.589415,1.39147
92.1,0.551121,1.39257
92.2,0.50995,1.39333
92.3,0.465537,1.39374
92.4,0.417462,1.39376
92.5,0.365245,1.39336
92.6,0.308343,1.39251
92.7,0.246141,1.39118
92.8,0.177954,1.3893
92.9,0.103034,1.38684
93,0.0205877,1.38374
93.1,-0.0701887,1.37994
93.2,-0.170045,1.37536
93.3,-0.279579,1.36994
93.4,-0.399085,1.3636
93.5,-0.528362,1.35627
93.6,-0.66648,1.34788
93.7,-0.811562,1.33839
93.8,-0.96065,1.32778
93.9,-1.10978,1.31604
94,-1.25431,1.30322
94.1,-1.38955,1.28941
94.2,-1.51151,1.27471
94.3,-1.61745,1.25926
94.4,-1.70624,1.24321
94.5,-1.77818,1.22668
94.6,-1.83471,1.2098
